,Result,Possesion,Passing Accuracy,Crossing Accuracy,Won Rate,Total Attempts Rate,Shots On Target Rate,Shots Off Target Rate,Shots Woodwork Rate,Shots Crossbar Rate,Shots Post Rate,Shots Blocked Rate,Goals Rate,Goals Right Foot Rate,Goals Left Foot Rate,Goals Head Rate,Goals Other Rate,Goals Inside Area Rate,Goals Outside Area Rate,Penalties Scored Rate,Passes Attempted Rate,Passes Completed Rate,Crosses Attempted Rate,Crosses Completed Rate,Free-Kicks Taken Rate,Attacks Rate,Assists Rate,Corners Taken Rate,Offsides Rate,Dribbles Rate,Balls Recovered Rate,Tackles Rate,Tackles Won Rate,Tackles Lost Rate,Clearances Attempted Rate,Saves Rate,Goals Conceded Rate,Own Goals Conceded Rate,Saves from Penalties Rate,Clean Sheets Rate,Punches Made Rate,Fouls Committed Rate,Fouls Suffered Rate,Yellow Cards Rate,Red Cards Rate
Result,1.0,-0.32795845614277686,-0.3097032718622917,-0.003153795096517651,-0.7681668757633576,-0.4281892617754461,-0.5150839285310478,-0.2034765151197644,-0.15500856435890825,-0.002975122282750536,-0.15305626897039665,-0.3591175208432959,-0.5767901688383734,-0.44969782349122794,-0.527127463024096,-0.27075601915006187,-0.04749501890591143,-0.5746939143335305,-0.3030247881262929,-0.29227589262370035,-0.3744338214750045,-0.3758017303972674,-0.05017330965555996,-0.029751198684560033,0.016485638797735017,-0.40184744521702737,-0.5009461913410347,-0.17600143444169242,0.13500131984905359,-0.31626058978508803,0.20543870762646943,0.1512840156923278,-0.00489247148186381,0.24759999240196132,0.25921537783123405,0.41875435023800334,0.6003886443135648,0.15558757908594786,0.0897975684240964,-0.5227117410694195,0.03334784601874284,0.19922967336217332,0.048967225649463444,0.2609403040775046,0.31897577525791526
Possesion,-0.32795845614277686,1.0,0.8075613581390373,0.05945827325097408,0.5450775670129954,0.7505115010578783,0.608549792856653,0.6288108083239762,0.34836334908467687,0.27554683312686196,0.20229656041386226,0.7068992362139962,0.4910848784558904,0.47629933252969153,0.4138898874889475,0.1385886579912672,-0.11133522222729109,0.5147751665190943,0.15860947860575236,0.22992614240167933,0.9393108313799182,0.923713633085446,0.5978909260742546,0.5044351766674309,-0.13467507134451126,0.9043356455680429,0.4703656792579726,0.6592739000108425,0.02573769860389349,0.4864144805186287,0.05571073036065709,-0.5372092586841222,-0.4544432579116904,-0.48647267992240656,-0.812789727535272,-0.6362381586278685,-0.5390252843746997,0.15049269255102074,-0.14838144011364512,0.43331679362240383,-0.18063750193331332,0.09530818346741843,-0.12489582542814333,-0.2982499788414894,-0.15074668877492037
Passing Accuracy,-0.3097032718622917,0.8075613581390373,1.0,0.07059589360889378,0.49673753883006205,0.6791110115969693,0.5632914563754852,0.6014059198776234,0.26296417358351337,0.3372930976105212,0.07370269179737314,0.5876022527360902,0.4329556266929659,0.46460457689621254,0.272933151296885,0.20662912249976317,-0.027591931387382855,0.42348605423131624,0.254020882424529,0.09677360326585537,0.9151019959198026,0.9415604893792421,0.4421500249307998,0.41213701755962223,-0.23202992817640797,0.7368555214814982,0.38971662391588585,0.5638826492940555,0.07991042798761958,0.3785461398728612,-0.3084746215202584,-0.4222472052719213,-0.327144799656014,-0.4074620540325922,-0.684575062150932,-0.4096017109430239,-0.4606595659733146,0.09238459035703828,-0.03636842888016489,0.450229516534077,0.15412074023442793,-0.3285234650030127,-0.16630862906740995,-0.49092852238507856,-0.3128947947828007
Crossing Accuracy,-0.003153795096517651,0.05945827325097408,0.07059589360889378,1.0,0.095834911809839,0.13501528089709303,0.06399404851479315,0.24935471756370362,-0.12049223337413686,-0.1812468551918833,0.11319702938753601,0.0337271612300283,0.22137996127952972,0.1118254665952112,0.08084247645144824,0.41253133563359845,0.23868199774776394,0.2306244338591127,0.024021958330458133,-0.15552963732651406,-0.05459423728778637,-0.04150575334669616,0.25433613158487395,0.6317091557792791,0.10640719463075753,0.06443993323244634,0.2832506092840319,-0.04658821064655765,-0.19623583776528056,-0.07828667009143911,-0.001622081909341434,0.09512317785971429,0.20519040018929072,-0.017784644792884184,0.13132424528280548,-0.055656472416156434,-0.2598332447540813,0.2881078430586646,-0.023356832778758146,0.2418953988681167,0.08141829709193017,0.034693297489795244,-0.012855743665848018,0.05550090603513857,0.165319089429916
Won Rate,-0.7681668757633576,0.5450775670129954,0.49673753883006205,0.095834911809839,1.0,0.706290040690084,0.7624048354886199,0.49632385439174725,0.1292447119141576,0.005164489046290883,0.09798295087475027,0.5255713716575113,0.7855042602309414,0.5663986460266633,0.6905278487656712,0.49212444890005363,0.26503832808753996,0.7928237018101781,0.37904934371941307,0.40766676622268405,0.5849802227792879,0.5808284951252736,0.37204330866354685,0.3345637715070355,-0.2524079427023699,0.651046474947648,0.68944793137646,0.37260724553514235,-0.039214211135862743,0.3290276268673885,-0.018981392986413166,-0.1057538277079812,-0.05104039333960863,-0.12777402326809714,-0.45452695763915163,-0.5596515443278149,-0.6416253156685432,0.0016674746879776514,-0.060913975850881104,0.6140429534276717,-0.1570989525262757,-0.01917854734859332,-0.2727995536886329,-0.3624641141957548,-0.3316348693075892
Total Attempts Rate,-0.4281892617754461,0.7505115010578783,0.6791110115969693,0.13501528089709303,0.706290040690084,1.0,0.8900503757526433,0.8168969103914608,0.3402726398803841,0.2247708374758695,0.32191571308274664,0.8625925840158157,0.7453952861153439,0.659477434750895,0.5562608918007278,0.4440860200793815,0.10830594541894895,0.73566097800552,0.4222045860817355,0.328219854007588,0.7614380337498465,0.7527838119249529,0.7048946247216497,0.6323978080001145,-0.40376284194784423,0.8665595407098694,0.7166290918928397,0.7284737503203502,0.033918935770872946,0.2702989736134873,0.130647276876016,-0.3382116379224891,-0.2880670219859599,-0.30455441890528595,-0.6760077913326481,-0.6516202578872026,-0.47154607981349056,0.09515919220631713,-0.2749153185550292,0.40502375802791746,-0.19374383252059718,0.04742741019119453,-0.43196195280311,-0.6041787130715045,-0.27986266038502183
Shots On Target Rate,-0.5150839285310478,0.608549792856653,0.5632914563754852,0.06399404851479315,0.7624048354886199,0.8900503757526433,1.0,0.5514845599543918,0.292504646343554,0.10590197937685503,0.2750285794318568,0.6942844642959177,0.894712583892232,0.750573345181922,0.7018925602305538,0.519549353298109,0.21307348228153872,0.8682569324486566,0.5482290952214585,0.396357186538852,0.6299899393668973,0.6222886802272876,0.5287998856226365,0.4593852190512862,-0.2990369435878761,0.738210170310998,0.8613915972129512,0.5608708830145395,0.030984752798874107,0.3130235031037974,0.09721730557737307,-0.23923290730175376,-0.19954580024207028,-0.21930178526414185,-0.4952761517791425,-0.5445965194832917,-0.39553850927365597,0.08279641093951597,-0.19162148198394538,0.27435194958800624,-0.10886051569876044,-0.033053972312388824,-0.3249872098924976,-0.5820597529752322,-0.41676070806895904
Shots Off Target Rate,-0.2034765151197644,0.6288108083239762,0.6014059198776234,0.24935471756370362,0.49632385439174725,0.8168969103914608,0.5514845599543918,1.0,0.28287162804443794,0.24529075037046655,0.2946644914156174,0.5608612834327976,0.4048696019771072,0.2845629957864141,0.3289518259671106,0.3438111014598912,0.12026898881187291,0.423962638596251,0.16994170649751217,0.17290631463170544,0.6327266020350766,0.6339172006767385,0.6729196065040707,0.659026090323408,-0.497940056702314,0.6823264216295134,0.363148116459655,0.5131939701916126,-0.05148075602490003,0.19669122554267165,0.16556103976970085,-0.2655442880900052,-0.22486351367296256,-0.23985044861591867,-0.6357778430037907,-0.5221550016258609,-0.4486980117556892,0.1569027922827739,-0.21669187742189774,0.40599575496695245,-0.227578492625072,0.12767020814402696,-0.4865374411077058,-0.48860949082020855,-0.0639552999614734
Shots Woodwork Rate,-0.15500856435890825,0.34836334908467687,0.26296417358351337,-0.12049223337413686,0.1292447119141576,0.3402726398803841,0.292504646343554,0.28287162804443794,1.0,0.6475703175766293,0.7376408705083541,0.30233852944287193,0.12358510120129435,-0.08879007057657379,0.3445940862599514,-0.028607217557861244,0.15949877493594694,0.10738283776687324,0.22857059391885837,0.04686885201734391,0.3181322418388294,0.30967620095677,0.049176457588429284,0.005088735347389422,0.08335128090501064,0.3244967842330809,0.1366570792473028,0.20685754135867604,0.1622195434395811,0.21180518508384497,-0.04641094856783419,-0.1335039978471355,-0.24808424472494528,-0.00737882901530302,-0.38707617189339344,-0.35921877306105876,-0.11355773287606688,0.047077917124856386,-0.37038827716155903,0.07862538233657466,-0.06914280572030952,-0.14525764749037812,0.06892938544531314,-0.29935074547114887,-0.08614557456510988
Shots Crossbar Rate,-0.002975122282750536,0.27554683312686196,0.3372930976105212,-0.1812468551918833,0.005164489046290883,0.2247708374758695,0.10590197937685503,0.24529075037046655,0.6475703175766293,1.0,0.17586727685212328,0.24767416125126637,-0.1496864237348662,-0.08704207091939646,-0.0002217239647329811,-0.2638526062582179,-0.2429394046018907,-0.12897136633236844,-0.03694427765436272,-0.07438410038170232,0.3268426183338147,0.33106466083044384,0.09760947203436732,0.02382683331467838,0.013397237675937073,0.24319964407130068,-0.13452297363895746,0.2743617405328956,0.010532669112527497,-0.10216785645942288,-0.16041877974396113,-0.2073286069075569,-0.3795132487624567,-0.016166404955004474,-0.2756089270119158,-0.21387310637668064,-0.16509334545106127,0.12551586583369548,-0.13368779621607338,0.26041974367613224,0.052764648408284945,-0.22208049674624097,0.055811889265475506,-0.32252145008251837,0.06636486887726765
Shots Post Rate,-0.15305626897039665,0.20229656041386226,0.07370269179737314,0.11319702938753601,0.09798295087475027,0.32191571308274664,0.2750285794318568,0.2946644914156174,0.7376408705083541,0.17586727685212328,1.0,0.2576970064805937,0.2237971937786821,-0.09435910444383074,0.4160557634388344,0.16611855589702895,0.30408360261837813,0.19951836820152444,0.2568257579960156,0.04081850468145234,0.1315676792914566,0.12355919157106489,0.04279844578513552,0.08695164086285323,-0.0706196531839424,0.2513399208315935,0.23642772847840415,0.08010966004676374,0.1983064161222322,0.28140274349102834,0.09264688204904052,0.12131665895326402,0.12942637527303083,0.08787892637677265,-0.26113856088139803,-0.20726692578368383,0.10911484275007727,0.046175165226667585,-0.440832130788137,-0.14361927593763713,-0.22251746838099573,0.010800412499112887,-0.11635765907874884,-0.27773541616440484,-0.2412776758749034
Shots Blocked Rate,-0.3591175208432959,0.7068992362139962,0.5876022527360902,0.0337271612300283,0.5255713716575113,0.8625925840158157,0.6942844642959177,0.5608612834327976,0.30233852944287193,0.24767416125126637,0.2576970064805937,1.0,0.5705947365292883,0.6400637597172273,0.3518963110963764,0.24245541050568478,-0.09346224111120413,0.5551703332862049,0.33538281140630893,0.2536327646256817,0.7068493619441594,0.6902662761405722,0.6268376849746182,0.5203185386337951,-0.23908645729966493,0.8186913545128209,0.5760431442380358,0.8329217915788845,0.11704220779976235,0.16591001179188986,0.07015302254127306,-0.3842038127945926,-0.33431959877425854,-0.3400015102068447,-0.6276145977027245,-0.6193657447617259,-0.367416446341029,-0.003970507714177828,-0.3139536978963609,0.3764686745791376,-0.171047149834762,0.03855480656112253,-0.3002929770622532,-0.46917423930450664,-0.20788744717045246
Goals Rate,-0.5767901688383734,0.4910848784558904,0.4329556266929659,0.22137996127952972,0.7855042602309414,0.7453952861153439,0.894712583892232,0.4048696019771072,0.12358510120129435,-0.1496864237348662,0.2237971937786821,0.5705947365292883,1.0,0.7716464598227567,0.8034932684107047,0.6606998868828803,0.3224731672287311,0.9764739488093561,0.5873366185198381,0.4414400520336926,0.4950244549965553,0.48677149874709824,0.3642618820883268,0.38321232856766624,-0.1459721861770485,0.6092658206135909,0.9651859899712841,0.32431217695498676,-0.02522726891950152,0.3831489480721354,0.08080284851843016,-0.13868483913310437,-0.017950717502259805,-0.20895135939700335,-0.35341019486299907,-0.4311663930255905,-0.3718606040261885,0.07736178438822588,-0.08020621649804344,0.2895737322300863,-0.09511083397451936,-0.0024556584061174226,-0.23032396133353686,-0.35851053719293663,-0.37148523130868505
Goals Right Foot Rate,-0.44969782349122794,0.47629933252969153,0.46460457689621254,0.1118254665952112,0.5663986460266633,0.659477434750895,0.750573345181922,0.2845629957864141,-0.08879007057657379,-0.08704207091939646,-0.09435910444383074,0.6400637597172273,0.7716464598227567,1.0,0.31429516797976353,0.42090961218590783,-0.06007642251982859,0.7567521484157403,0.4620174420600722,0.4147263622161092,0.5096875604803043,0.4996752916771224,0.42048829061500637,0.37351458104967755,0.002442649869353407,0.532371329380299,0.7634473436955919,0.42377044005208553,-0.09387828852209631,0.2008701959788239,0.0028814798724031655,-0.22195912190509604,-0.08727514200928713,-0.2850126442371733,-0.38634433053142786,-0.3775076329326421,-0.3334353427795453,0.07365784486765373,0.011860978074155563,0.3030226793466877,-0.12268696633834252,0.011415862203067494,-0.10098907662426412,-0.24082130649100075,-0.21971839993638326
Goals Left Foot Rate,-0.527127463024096,0.4138898874889475,0.272933151296885,0.08084247645144824,0.6905278487656712,0.5562608918007278,0.7018925602305538,0.3289518259671106,0.3445940862599514,-0.0002217239647329811,0.4160557634388344,0.3518963110963764,0.8034932684107047,0.31429516797976353,1.0,0.3732442597741092,0.3994857201735277,0.78760428438607,0.4798596120467804,0.3175038749829671,0.3747882131924333,0.3615424640610602,0.14698746748445862,0.1642492653808938,-0.18495246316801953,0.5006587895769311,0.7437577313209222,0.13998032456322257,0.03235362790579159,0.47477888864115986,0.12226792576672349,-0.09243928340413023,-0.006296580694791466,-0.14433546090441002,-0.26199892044469925,-0.37985352385635496,-0.32702904999060295,-0.042918735518861495,-0.1264936640166259,0.16885801949517182,-0.007916318967995667,-0.00569164090557507,-0.18064710689900954,-0.32322913100007666,-0.4270744012559553
Goals Head Rate,-0.27075601915006187,0.1385886579912672,0.20662912249976317,0.41253133563359845,0.49212444890005363,0.4440860200793815,0.519549353298109,0.3438111014598912,-0.028607217557861244,-0.2638526062582179,0.16611855589702895,0.24245541050568478,0.6606998868828803,0.42090961218590783,0.3732442597741092,1.0,0.32743038982405964,0.6726242666852873,0.29449164309538783,0.33510245512904263,0.1772251282740193,0.1867840650758009,0.2601377507231084,0.36482295416639304,-0.17345932668746,0.26463025095084114,0.655581551658369,0.10139469416460843,-0.09184538952770173,0.0687062248575819,0.09087376384137508,0.08413045575250469,0.10712442717208467,0.04633966308245315,-0.10888278890221337,-0.21153197493986364,-0.11617116959820828,0.2798091772685252,-0.09384033753953819,0.22606880904968385,-0.18913365883204974,0.0506951886908325,-0.3072300019575986,-0.1982116115464215,-0.018783143934374944
Goals Other Rate,-0.04749501890591143,-0.11133522222729109,-0.027591931387382855,0.23868199774776394,0.26503832808753996,0.10830594541894895,0.21307348228153872,0.12026898881187291,0.15949877493594694,-0.2429394046018907,0.30408360261837813,-0.09346224111120413,0.3224731672287311,-0.06007642251982859,0.3994857201735277,0.32743038982405964,1.0,0.26887028896965504,0.39065943623196464,0.02944730125151126,-0.125187489654376,-0.10156716743186207,-0.03948424280341215,0.08609723842680884,-0.10016071606786278,0.0013582069311105427,0.2888840043120673,-0.14726129568275806,0.007245986852508673,0.1336434680465039,-0.22993168184866825,0.3037281337243803,0.1668957576841422,0.35005851818607164,0.1111976411759631,0.11241181866543311,-0.08025745701178597,-0.07815480590811287,-0.1698265982990142,0.001402897393936908,0.06847168109016227,0.005271336475146004,-0.1438258697949541,-0.05846011627857269,-0.29288474829657757
Goals Inside Area Rate,-0.5746939143335305,0.5147751665190943,0.42348605423131624,0.2306244338591127,0.7928237018101781,0.73566097800552,0.8682569324486566,0.423962638596251,0.10738283776687324,-0.12897136633236844,0.19951836820152444,0.5551703332862049,0.9764739488093561,0.7567521484157403,0.78760428438607,0.6726242666852873,0.26887028896965504,1.0,0.41365612033588506,0.5024123326506099,0.5018500313892524,0.4924340351907069,0.3495900063023899,0.3754339189746125,-0.14252762353270934,0.6297298807648738,0.9424234922213689,0.31442258016611796,-0.026517849283959973,0.36249694159351664,0.10194156209654552,-0.16712053775028113,-0.06935175965436519,-0.21176810238609672,-0.3872245516382928,-0.4907173703173298,-0.3826921103173904,0.17480746165821742,-0.06831645753042208,0.35827711736108786,-0.1506803729974867,0.06817460761970268,-0.24034880191061136,-0.32498653542033706,-0.29560407862582233
Goals Outside Area Rate,-0.3030247881262929,0.15860947860575236,0.254020882424529,0.024021958330458133,0.37904934371941307,0.4222045860817355,0.5482290952214585,0.16994170649751217,0.22857059391885837,-0.03694427765436272,0.2568257579960156,0.33538281140630893,0.5873366185198381,0.4620174420600722,0.4798596120467804,0.29449164309538783,0.39065943623196464,0.41365612033588506,1.0,0.07535154887239985,0.2307680494631154,0.23035343282413268,0.18929094199891944,0.1613740962119984,-0.08259494273597265,0.19796733168416356,0.5493984384466291,0.12510298898049824,-0.11761468773426867,0.27303676230878293,-0.07804900635462733,0.08599805970569445,0.20367495513134867,-0.03180137592664589,-0.0713758149197805,-0.023511009722014826,-0.18076424156126902,-0.38075266581291134,-0.1575366841927503,-0.08331041689878674,0.1313971104882888,-0.22203984767218707,-0.06988096051770143,-0.2715066307280342,-0.446765853507434
Penalties Scored Rate,-0.29227589262370035,0.22992614240167933,0.09677360326585537,-0.15552963732651406,0.40766676622268405,0.328219854007588,0.396357186538852,0.17290631463170544,0.04686885201734391,-0.07438410038170232,0.04081850468145234,0.2536327646256817,0.4414400520336926,0.4147263622161092,0.3175038749829671,0.33510245512904263,0.02944730125151126,0.5024123326506099,0.07535154887239985,1.0,0.20112071107167886,0.18662973836082236,0.12214712767093971,0.02040262702712852,0.13446591854818682,0.24394462958119476,0.3140905093150734,0.14355937700779517,-0.06075412087314261,0.1514934675551046,0.24883633007557976,0.026657414633781656,-0.0638654098769201,0.09598992926835308,-0.29677693273536654,-0.4324191379322061,-0.2260998051802358,0.1488585512589346,0.019977680680959616,0.3297991022554089,-0.049171027109225225,0.1169193101923691,0.16090234049615754,0.041541005948511796,0.042702755136025096
Passes Attempted Rate,-0.3744338214750045,0.9393108313799182,0.9151019959198026,-0.05459423728778637,0.5849802227792879,0.7614380337498465,0.6299899393668973,0.6327266020350766,0.3181322418388294,0.3268426183338147,0.1315676792914566,0.7068493619441594,0.4950244549965553,0.5096875604803043,0.3747882131924333,0.1772251282740193,-0.125187489654376,0.5018500313892524,0.2307680494631154,0.20112071107167886,1.0,0.9967593709604221,0.5406358635789488,0.41983848846689875,-0.243589866421652,0.8859988446743131,0.4681632597099608,0.6649769030295564,0.058708520481766155,0.46994250684481487,-0.0730577958735201,-0.5140255843820914,-0.4236705751824549,-0.4747741529828372,-0.8218108442719175,-0.5326953866934723,-0.4832267266792065,0.05680361633212286,-0.06365207309904769,0.4577114112359342,-0.11416590102017185,-0.10443365412711715,-0.2036948582852107,-0.458116858773953,-0.2519605152946815
Passes Completed Rate,-0.3758017303972674,0.923713633085446,0.9415604893792421,-0.04150575334669616,0.5808284951252736,0.7527838119249529,0.6222886802272876,0.6339172006767385,0.30967620095677,0.33106466083044384,0.12355919157106489,0.6902662761405722,0.48677149874709824,0.4996752916771224,0.3615424640610602,0.1867840650758009,-0.10156716743186207,0.4924340351907069,0.23035343282413268,0.18662973836082236,0.9967593709604221,1.0,0.5161583488436209,0.40955938298322125,-0.25717468713873953,0.868218650836068,0.45495391841839755,0.6508538094705107,0.0591770868851529,0.4625797370816849,-0.13099583370416473,-0.5035049661179519,-0.41749808144015516,-0.4629551859836345,-0.8010483419330177,-0.5091310204970427,-0.4854652311400494,0.06559595408404169,-0.054044252047258774,0.46387569892978014,-0.06424832795459931,-0.1479033712744502,-0.21175575589474327,-0.4742586310439025,-0.2692371938837671
