,Result,Possesion,Passing Accuracy,Crossing Accuracy,Won Rate,Total Attempts Rate,Shots On Target Rate,Shots Off Target Rate,Shots Woodwork Rate,Shots Crossbar Rate,Shots Post Rate,Shots Blocked Rate,Goals Rate,Goals Right Foot Rate,Goals Left Foot Rate,Goals Head Rate,Goals Other Rate,Goals Inside Area Rate,Goals Outside Area Rate,Penalties Scored Rate,Passes Attempted Rate,Passes Completed Rate,Crosses Attempted Rate,Crosses Completed Rate,Free-Kicks Taken Rate,Attacks Rate,Assists Rate,Corners Taken Rate,Offsides Rate,Dribbles Rate,Balls Recovered Rate,Tackles Rate,Tackles Won Rate,Tackles Lost Rate,Clearances Attempted Rate,Saves Rate,Goals Conceded Rate,Own Goals Conceded Rate,Saves from Penalties Rate,Clean Sheets Rate,Punches Made Rate,Fouls Committed Rate,Fouls Suffered Rate,Yellow Cards Rate,Red Cards Rate
Crosses Attempted Rate,-0.05017330965555996,0.5978909260742546,0.4421500249307998,0.25433613158487395,0.37204330866354685,0.7048946247216497,0.5287998856226365,0.6729196065040707,0.049176457588429284,0.09760947203436732,0.04279844578513552,0.6268376849746182,0.3642618820883268,0.42048829061500637,0.14698746748445862,0.2601377507231084,-0.03948424280341215,0.3495900063023899,0.18929094199891944,0.12214712767093971,0.5406358635789488,0.5161583488436209,1.0,0.9010731884427738,-0.26710690058767134,0.7011867414718487,0.37243646013602405,0.7570395695336042,0.06294790781717698,-0.0200433986496282,0.3920079506917535,-0.24113048974270945,-0.19640586428442106,-0.2244022064451753,-0.6262091721985907,-0.5752291933805054,-0.3831204130789185,-0.09125260145730628,-0.3338899697252185,0.30054073312897234,-0.3338077499365646,0.24820395522990338,-0.23061025276055083,-0.26818530375492816,0.035970392234419585
Crosses Completed Rate,-0.029751198684560033,0.5044351766674309,0.41213701755962223,0.6317091557792791,0.3345637715070355,0.6323978080001145,0.4593852190512862,0.659026090323408,0.005088735347389422,0.02382683331467838,0.08695164086285323,0.5203185386337951,0.38321232856766624,0.37351458104967755,0.1642492653808938,0.36482295416639304,0.08609723842680884,0.3754339189746125,0.1613740962119984,0.02040262702712852,0.41983848846689875,0.40955938298322125,0.9010731884427738,1.0,-0.176885104627642,0.586199898865058,0.4109269018187982,0.5834772702759904,-0.030032293851074088,-0.062315556260825536,0.2691865375388274,-0.13796217665773822,-0.05511802603554429,-0.17611583478371132,-0.44610907571588554,-0.48989191270772087,-0.4237660858148557,0.03024505844750561,-0.2635230975652778,0.33388024709624053,-0.17568011012184825,0.19510543700725894,-0.17423466164129317,-0.20832185288853727,0.09028848459662157
Free-Kicks Taken Rate,0.016485638797735017,-0.13467507134451126,-0.23202992817640797,0.10640719463075753,-0.2524079427023699,-0.40376284194784423,-0.2990369435878761,-0.497940056702314,0.08335128090501064,0.013397237675937073,-0.0706196531839424,-0.23908645729966493,-0.1459721861770485,0.002442649869353407,-0.18495246316801953,-0.17345932668746,-0.10016071606786278,-0.14252762353270934,-0.08259494273597265,0.13446591854818682,-0.243589866421652,-0.25717468713873953,-0.26710690058767134,-0.176885104627642,1.0,-0.29425255715466486,-0.15933085887362,-0.3106727782488515,-0.07037349897156343,-0.07750237724862664,-0.10804561485072606,0.18886692104595457,0.2481685676368945,0.09712412883751473,0.10545008409893786,0.030106305075941305,0.025759922378541997,0.06314334524439852,0.1156846901352986,0.1362895429873204,0.10562976740344322,0.046328550761297514,0.8812673604879772,0.5644059146952389,0.17336860885937552
Attacks Rate,-0.40184744521702737,0.9043356455680429,0.7368555214814982,0.06443993323244634,0.651046474947648,0.8665595407098694,0.738210170310998,0.6823264216295134,0.3244967842330809,0.24319964407130068,0.2513399208315935,0.8186913545128209,0.6092658206135909,0.532371329380299,0.5006587895769311,0.26463025095084114,0.0013582069311105427,0.6297298807648738,0.19796733168416356,0.24394462958119476,0.8859988446743131,0.868218650836068,0.7011867414718487,0.586199898865058,-0.29425255715466486,1.0,0.6122045443589218,0.7742818939184294,0.16041819409176822,0.34207666562574707,0.1418199477472546,-0.44445270524021324,-0.4137903003686647,-0.3708548075800888,-0.8229003959010331,-0.6605875120865268,-0.4941459054261325,0.11461036094940423,-0.2599902882976872,0.4903343957288227,-0.30048076575246796,0.10374157954982854,-0.2958970586799735,-0.5166004848365332,-0.24986593847159755
Assists Rate,-0.5009461913410347,0.4703656792579726,0.38971662391588585,0.2832506092840319,0.68944793137646,0.7166290918928397,0.8613915972129512,0.363148116459655,0.1366570792473028,-0.13452297363895746,0.23642772847840415,0.5760431442380358,0.9651859899712841,0.7634473436955919,0.7437577313209222,0.655581551658369,0.2888840043120673,0.9424234922213689,0.5493984384466291,0.3140905093150734,0.4681632597099608,0.45495391841839755,0.37243646013602405,0.4109269018187982,-0.15933085887362,0.6122045443589218,1.0,0.3365285475980668,-0.012275330353412234,0.3197528948920225,0.10889436513766738,-0.22442834565383712,-0.10335277131555388,-0.2757201771176131,-0.3195019645110806,-0.38996416318105437,-0.3042912714615986,0.12238828044783193,-0.09891845646277407,0.21193759567437212,-0.17116913209816717,0.001898310870800096,-0.27190863083313643,-0.3894338023403686,-0.30118534639827294
Corners Taken Rate,-0.17600143444169242,0.6592739000108425,0.5638826492940555,-0.04658821064655765,0.37260724553514235,0.7284737503203502,0.5608708830145395,0.5131939701916126,0.20685754135867604,0.2743617405328956,0.08010966004676374,0.8329217915788845,0.32431217695498676,0.42377044005208553,0.13998032456322257,0.10139469416460843,-0.14726129568275806,0.31442258016611796,0.12510298898049824,0.14355937700779517,0.6649769030295564,0.6508538094705107,0.7570395695336042,0.5834772702759904,-0.3106727782488515,0.7742818939184294,0.3365285475980668,1.0,0.1726649972327919,0.08001435167359798,0.12294050959884831,-0.41663380246697,-0.46514429214301545,-0.2832242824186645,-0.6541520833909763,-0.5723620369081716,-0.2428130203979257,-0.055616425404928956,-0.33997002127143167,0.3101442915568746,-0.10713067850661134,-0.018471507529728343,-0.34594325952193206,-0.5053399349195737,-0.09568867501346232
Offsides Rate,0.13500131984905359,0.02573769860389349,0.07991042798761958,-0.19623583776528056,-0.039214211135862743,0.033918935770872946,0.030984752798874107,-0.05148075602490003,0.1622195434395811,0.010532669112527497,0.1983064161222322,0.11704220779976235,-0.02522726891950152,-0.09387828852209631,0.03235362790579159,-0.09184538952770173,0.007245986852508673,-0.026517849283959973,-0.11761468773426867,-0.06075412087314261,0.058708520481766155,0.0591770868851529,0.06294790781717698,-0.030032293851074088,-0.07037349897156343,0.16041819409176822,-0.012275330353412234,0.1726649972327919,1.0,0.0350688884219764,0.27854025784097486,0.17020808104399526,0.09148218129152971,0.1986386547985017,-0.3067349863940095,-0.14172475412176735,0.17134945817873187,0.06269009380540957,0.01818642904783798,-0.04761964181916762,-0.1271720621271178,-0.19095424870296643,0.025374852507411595,-0.2284986533739535,-0.1609355965828148
Dribbles Rate,-0.31626058978508803,0.4864144805186287,0.3785461398728612,-0.07828667009143911,0.3290276268673885,0.2702989736134873,0.3130235031037974,0.19669122554267165,0.21180518508384497,-0.10216785645942288,0.28140274349102834,0.16591001179188986,0.3831489480721354,0.2008701959788239,0.47477888864115986,0.0687062248575819,0.1336434680465039,0.36249694159351664,0.27303676230878293,0.1514934675551046,0.46994250684481487,0.4625797370816849,-0.0200433986496282,-0.062315556260825536,-0.07750237724862664,0.34207666562574707,0.3197528948920225,0.08001435167359798,0.0350688884219764,1.0,0.08647239682317479,-0.25746716197961367,-0.10399446784901588,-0.3287792353010304,-0.3400818567675215,0.005761175372066972,-0.19271818701649596,-0.02252788146601097,0.14903263923094995,0.05673264753411443,-0.10974472299158783,-0.1529916218842998,-0.07486339801222033,0.006149764641436374,-0.25628188994513257
Balls Recovered Rate,0.20543870762646943,0.05571073036065709,-0.3084746215202584,-0.001622081909341434,-0.018981392986413166,0.130647276876016,0.09721730557737307,0.16556103976970085,-0.04641094856783419,-0.16041877974396113,0.09264688204904052,0.07015302254127306,0.08080284851843016,0.0028814798724031655,0.12226792576672349,0.09087376384137508,-0.22993168184866825,0.10194156209654552,-0.07804900635462733,0.24883633007557976,-0.0730577958735201,-0.13099583370416473,0.3920079506917535,0.2691865375388274,-0.10804561485072606,0.1418199477472546,0.10889436513766738,0.12294050959884831,0.27854025784097486,0.08647239682317479,1.0,-0.040525346845316855,0.007429331997652992,-0.07148146138101472,-0.17994139383678423,-0.2401812615197204,0.07140119363199456,0.043471728908621075,-0.09470454476907406,-0.09515455736622946,-0.5670793093805255,0.3471707712872677,-0.02580580857749021,0.0910757654321181,0.20101611052251403
Tackles Rate,0.1512840156923278,-0.5372092586841222,-0.4222472052719213,0.09512317785971429,-0.1057538277079812,-0.3382116379224891,-0.23923290730175376,-0.2655442880900052,-0.1335039978471355,-0.2073286069075569,0.12131665895326402,-0.3842038127945926,-0.13868483913310437,-0.22195912190509604,-0.09243928340413023,0.08413045575250469,0.3037281337243803,-0.16712053775028113,0.08599805970569445,0.026657414633781656,-0.5140255843820914,-0.5035049661179519,-0.24113048974270945,-0.13796217665773822,0.18886692104595457,-0.44445270524021324,-0.22442834565383712,-0.41663380246697,0.17020808104399526,-0.25746716197961367,-0.040525346845316855,1.0,0.8528294199542978,0.8996629672967253,0.25933686161829195,0.2754039179695707,0.312147782123532,-0.06684524783454462,0.047832775063519024,-0.10994175757556031,0.05006009689753781,0.1767235311249058,0.1523279214435563,0.15478693383915978,0.030241693038166047
Tackles Won Rate,-0.00489247148186381,-0.4544432579116904,-0.327144799656014,0.20519040018929072,-0.05104039333960863,-0.2880670219859599,-0.19954580024207028,-0.22486351367296256,-0.24808424472494528,-0.3795132487624567,0.12942637527303083,-0.33431959877425854,-0.017950717502259805,-0.08727514200928713,-0.006296580694791466,0.10712442717208467,0.1668957576841422,-0.06935175965436519,0.20367495513134867,-0.0638654098769201,-0.4236705751824549,-0.41749808144015516,-0.19640586428442106,-0.05511802603554429,0.2481685676368945,-0.4137903003686647,-0.10335277131555388,-0.46514429214301545,0.09148218129152971,-0.10399446784901588,0.007429331997652992,0.8528294199542978,1.0,0.5392854063444087,0.23308967990340942,0.23052792637438854,0.23300895221789128,-0.23194601655627498,0.036094730752397344,-0.09378690484583811,0.03850887985578673,0.10671395935404013,0.2413636776770157,0.2057227966396435,-0.1320726674014971
Tackles Lost Rate,0.24759999240196132,-0.48647267992240656,-0.4074620540325922,-0.017784644792884184,-0.12777402326809714,-0.30455441890528595,-0.21930178526414185,-0.23985044861591867,-0.00737882901530302,-0.016166404955004474,0.08787892637677265,-0.3400015102068447,-0.20895135939700335,-0.2850126442371733,-0.14433546090441002,0.04633966308245315,0.35005851818607164,-0.21176810238609672,-0.03180137592664589,0.09598992926835308,-0.4747741529828372,-0.4629551859836345,-0.2244022064451753,-0.17611583478371132,0.09712412883751473,-0.3708548075800888,-0.2757201771176131,-0.2832242824186645,0.1986386547985017,-0.3287792353010304,-0.07148146138101472,0.8996629672967253,0.5392854063444087,1.0,0.22299685101972103,0.25092806981175625,0.3079834834630924,0.08632165083006405,0.04737695203873122,-0.09839251665981605,0.047629409925160876,0.19581951306605694,0.043895301126495694,0.07767403320810402,0.15937969710071898
Clearances Attempted Rate,0.25921537783123405,-0.812789727535272,-0.684575062150932,0.13132424528280548,-0.45452695763915163,-0.6760077913326481,-0.4952761517791425,-0.6357778430037907,-0.38707617189339344,-0.2756089270119158,-0.26113856088139803,-0.6276145977027245,-0.35341019486299907,-0.38634433053142786,-0.26199892044469925,-0.10888278890221337,0.1111976411759631,-0.3872245516382928,-0.0713758149197805,-0.29677693273536654,-0.8218108442719175,-0.8010483419330177,-0.6262091721985907,-0.44610907571588554,0.10545008409893786,-0.8229003959010331,-0.3195019645110806,-0.6541520833909763,-0.3067349863940095,-0.3400818567675215,-0.17994139383678423,0.25933686161829195,0.23308967990340942,0.22299685101972103,1.0,0.6690873473816863,0.3232249435047845,-0.05154860743561217,0.17602438891618466,-0.41892422142806446,0.3652439875370272,-0.11750025721747884,0.08809533830955453,0.34894345267459864,0.0952702324188072
Saves Rate,0.41875435023800334,-0.6362381586278685,-0.4096017109430239,-0.055656472416156434,-0.5596515443278149,-0.6516202578872026,-0.5445965194832917,-0.5221550016258609,-0.35921877306105876,-0.21387310637668064,-0.20726692578368383,-0.6193657447617259,-0.4311663930255905,-0.3775076329326421,-0.37985352385635496,-0.21153197493986364,0.11241181866543311,-0.4907173703173298,-0.023511009722014826,-0.4324191379322061,-0.5326953866934723,-0.5091310204970427,-0.5752291933805054,-0.48989191270772087,0.030106305075941305,-0.6605875120865268,-0.38996416318105437,-0.5723620369081716,-0.14172475412176735,0.005761175372066972,-0.2401812615197204,0.2754039179695707,0.23052792637438854,0.25092806981175625,0.6690873473816863,1.0,0.5553718413052218,-0.07196292157972561,0.34804336560567517,-0.515805998063378,0.1746093113037628,-0.20822931930345864,-0.0003790198238360119,0.25549652955374913,-0.010814255428522053
Goals Conceded Rate,0.6003886443135648,-0.5390252843746997,-0.4606595659733146,-0.2598332447540813,-0.6416253156685432,-0.47154607981349056,-0.39553850927365597,-0.4486980117556892,-0.11355773287606688,-0.16509334545106127,0.10911484275007727,-0.367416446341029,-0.3718606040261885,-0.3334353427795453,-0.32702904999060295,-0.11617116959820828,-0.08025745701178597,-0.3826921103173904,-0.18076424156126902,-0.2260998051802358,-0.4832267266792065,-0.4854652311400494,-0.3831204130789185,-0.4237660858148557,0.025759922378541997,-0.4941459054261325,-0.3042912714615986,-0.2428130203979257,0.17134945817873187,-0.19271818701649596,0.07140119363199456,0.312147782123532,0.23300895221789128,0.3079834834630924,0.3232249435047845,0.5553718413052218,1.0,0.06663302111882184,0.07058630522855772,-0.6861209397126442,-0.025434108739148194,0.004267940271736142,-0.08342068257198496,0.05261289050159303,0.042166308588840254
Own Goals Conceded Rate,0.15558757908594786,0.15049269255102074,0.09238459035703828,0.2881078430586646,0.0016674746879776514,0.09515919220631713,0.08279641093951597,0.1569027922827739,0.047077917124856386,0.12551586583369548,0.046175165226667585,-0.003970507714177828,0.07736178438822588,0.07365784486765373,-0.042918735518861495,0.2798091772685252,-0.07815480590811287,0.17480746165821742,-0.38075266581291134,0.1488585512589346,0.05680361633212286,0.06559595408404169,-0.09125260145730628,0.03024505844750561,0.06314334524439852,0.11461036094940423,0.12238828044783193,-0.055616425404928956,0.06269009380540957,-0.02252788146601097,0.043471728908621075,-0.06684524783454462,-0.23194601655627498,0.08632165083006405,-0.05154860743561217,-0.07196292157972561,0.06663302111882184,1.0,0.2894589971572445,0.1447606707417353,-0.11997365965687097,0.18134957077084923,-0.1210625107196132,-0.0877724321476102,0.2060366131047598
Saves from Penalties Rate,0.0897975684240964,-0.14838144011364512,-0.03636842888016489,-0.023356832778758146,-0.060913975850881104,-0.2749153185550292,-0.19162148198394538,-0.21669187742189774,-0.37038827716155903,-0.13368779621607338,-0.440832130788137,-0.3139536978963609,-0.08020621649804344,0.011860978074155563,-0.1264936640166259,-0.09384033753953819,-0.1698265982990142,-0.06831645753042208,-0.1575366841927503,0.019977680680959616,-0.06365207309904769,-0.054044252047258774,-0.3338899697252185,-0.2635230975652778,0.1156846901352986,-0.2599902882976872,-0.09891845646277407,-0.33997002127143167,0.01818642904783798,0.14903263923094995,-0.09470454476907406,0.047832775063519024,0.036094730752397344,0.04737695203873122,0.17602438891618466,0.34804336560567517,0.07058630522855772,0.2894589971572445,1.0,-0.03429980666909594,0.17412463292152608,-0.14758325301569422,0.10949445672920775,0.11000898737553234,0.07999808830933308
Clean Sheets Rate,-0.5227117410694195,0.43331679362240383,0.450229516534077,0.2418953988681167,0.6140429534276717,0.40502375802791746,0.27435194958800624,0.40599575496695245,0.07862538233657466,0.26041974367613224,-0.14361927593763713,0.3764686745791376,0.2895737322300863,0.3030226793466877,0.16885801949517182,0.22606880904968385,0.001402897393936908,0.35827711736108786,-0.08331041689878674,0.3297991022554089,0.4577114112359342,0.46387569892978014,0.30054073312897234,0.33388024709624053,0.1362895429873204,0.4903343957288227,0.21193759567437212,0.3101442915568746,-0.04761964181916762,0.05673264753411443,-0.09515455736622946,-0.10994175757556031,-0.09378690484583811,-0.09839251665981605,-0.41892422142806446,-0.515805998063378,-0.6861209397126442,0.1447606707417353,-0.03429980666909594,1.0,-0.08154252099023131,-0.054942517401001686,0.09594911875253541,-0.16202863098910472,-0.03171921596926751
Punches Made Rate,0.03334784601874284,-0.18063750193331332,0.15412074023442793,0.08141829709193017,-0.1570989525262757,-0.19374383252059718,-0.10886051569876044,-0.227578492625072,-0.06914280572030952,0.052764648408284945,-0.22251746838099573,-0.171047149834762,-0.09511083397451936,-0.12268696633834252,-0.007916318967995667,-0.18913365883204974,0.06847168109016227,-0.1506803729974867,0.1313971104882888,-0.049171027109225225,-0.11416590102017185,-0.06424832795459931,-0.3338077499365646,-0.17568011012184825,0.10562976740344322,-0.30048076575246796,-0.17116913209816717,-0.10713067850661134,-0.1271720621271178,-0.10974472299158783,-0.5670793093805255,0.05006009689753781,0.03850887985578673,0.047629409925160876,0.3652439875370272,0.1746093113037628,-0.025434108739148194,-0.11997365965687097,0.17412463292152608,-0.08154252099023131,1.0,-0.4724704079554057,0.1629615097749224,-0.08412126324050803,-0.15803800529243706
Fouls Committed Rate,0.19922967336217332,0.09530818346741843,-0.3285234650030127,0.034693297489795244,-0.01917854734859332,0.04742741019119453,-0.033053972312388824,0.12767020814402696,-0.14525764749037812,-0.22208049674624097,0.010800412499112887,0.03855480656112253,-0.0024556584061174226,0.011415862203067494,-0.00569164090557507,0.0506951886908325,0.005271336475146004,0.06817460761970268,-0.22203984767218707,0.1169193101923691,-0.10443365412711715,-0.1479033712744502,0.24820395522990338,0.19510543700725894,0.046328550761297514,0.10374157954982854,0.001898310870800096,-0.018471507529728343,-0.19095424870296643,-0.1529916218842998,0.3471707712872677,0.1767235311249058,0.10671395935404013,0.19581951306605694,-0.11750025721747884,-0.20822931930345864,0.004267940271736142,0.18134957077084923,-0.14758325301569422,-0.054942517401001686,-0.4724704079554057,1.0,-0.0935600786762595,0.31435384887945744,0.24809585201883227
Fouls Suffered Rate,0.048967225649463444,-0.12489582542814333,-0.16630862906740995,-0.012855743665848018,-0.2727995536886329,-0.43196195280311,-0.3249872098924976,-0.4865374411077058,0.06892938544531314,0.055811889265475506,-0.11635765907874884,-0.3002929770622532,-0.23032396133353686,-0.10098907662426412,-0.18064710689900954,-0.3072300019575986,-0.1438258697949541,-0.24034880191061136,-0.06988096051770143,0.16090234049615754,-0.2036948582852107,-0.21175575589474327,-0.23061025276055083,-0.17423466164129317,0.8812673604879772,-0.2958970586799735,-0.27190863083313643,-0.34594325952193206,0.025374852507411595,-0.07486339801222033,-0.02580580857749021,0.1523279214435563,0.2413636776770157,0.043895301126495694,0.08809533830955453,-0.0003790198238360119,-0.08342068257198496,-0.1210625107196132,0.10949445672920775,0.09594911875253541,0.1629615097749224,-0.0935600786762595,1.0,0.5681637697836168,0.11158397694577386
Yellow Cards Rate,0.2609403040775046,-0.2982499788414894,-0.49092852238507856,0.05550090603513857,-0.3624641141957548,-0.6041787130715045,-0.5820597529752322,-0.48860949082020855,-0.29935074547114887,-0.32252145008251837,-0.27773541616440484,-0.46917423930450664,-0.35851053719293663,-0.24082130649100075,-0.32322913100007666,-0.1982116115464215,-0.05846011627857269,-0.32498653542033706,-0.2715066307280342,0.041541005948511796,-0.458116858773953,-0.4742586310439025,-0.26818530375492816,-0.20832185288853727,0.5644059146952389,-0.5166004848365332,-0.3894338023403686,-0.5053399349195737,-0.2284986533739535,0.006149764641436374,0.0910757654321181,0.15478693383915978,0.2057227966396435,0.07767403320810402,0.34894345267459864,0.25549652955374913,0.05261289050159303,-0.0877724321476102,0.11000898737553234,-0.16202863098910472,-0.08412126324050803,0.31435384887945744,0.5681637697836168,1.0,0.4867665763543398
Red Cards Rate,0.31897577525791526,-0.15074668877492037,-0.3128947947828007,0.165319089429916,-0.3316348693075892,-0.27986266038502183,-0.41676070806895904,-0.0639552999614734,-0.08614557456510988,0.06636486887726765,-0.2412776758749034,-0.20788744717045246,-0.37148523130868505,-0.21971839993638326,-0.4270744012559553,-0.018783143934374944,-0.29288474829657757,-0.29560407862582233,-0.446765853507434,0.042702755136025096,-0.2519605152946815,-0.2692371938837671,0.035970392234419585,0.09028848459662157,0.17336860885937552,-0.24986593847159755,-0.30118534639827294,-0.09568867501346232,-0.1609355965828148,-0.25628188994513257,0.20101611052251403,0.030241693038166047,-0.1320726674014971,0.15937969710071898,0.0952702324188072,-0.010814255428522053,0.042166308588840254,0.2060366131047598,0.07999808830933308,-0.03171921596926751,-0.15803800529243706,0.24809585201883227,0.11158397694577386,0.4867665763543398,1.0
