Club ID;Result;Matches Played;Won;Drawn;Lost;Total Attempts;Shots On Target;Shots Off Target;Shots Woodwork;Shots Crossbar;Shots Post;Shots Blocked;Goals;Goals Right Foot;Goals Left Foot;Goals Head;Goals Other;Goals Inside Area;Goals Outside Area;Penalties Scored;Passing Accuracy;Passes Attempted;Passes Completed;Possesion;Crossing Accuracy;Crosses Attempted;Crosses Completed;Free-Kicks Taken;Attacks;Assists;Corners Taken;Offsides;Dribbles;Balls Recovered;Tackles;Tackles Won;Tackles Lost;Clearances Attempted;Saves;Goals Conceded;Own Goals Conceded;Saves from Penalties;Clean Sheets;Punches Made;Fouls Committed;Fouls Suffered;Yellow Cards;Red Cards
1;9;8;6;1;1;130;52;51;4;0;3;27;22;5;12;3;1;20;1;1;87.6;4611;4047;59.5;33;161;54;94;535;17;38;21;125;327;107;46;61;83;15;8;1;0;2;2;117;78;15;0
2;17;6;1;3;2;81;30;28;4;2;2;23;12;4;7;1;0;10;2;0;82;2972;2445;51.3;29;104;31;89;314;11;27;13;76;280;68;32;36;104;21;13;0;0;1;1;68;74;9;0
3;5;10;3;3;4;96;27;47;2;1;0;22;9;3;4;2;0;9;0;1;77.5;3650;2868;41.5;22;119;27;130;352;7;32;22;103;425;126;54;72;185;26;10;0;0;3;2;128;113;25;4
4;17;6;2;1;3;60;11;29;1;1;0;20;2;2;0;0;0;2;0;0;87.8;3533;3103;55.8;25;119;30;85;335;1;36;20;61;235;90;38;52;48;16;9;0;0;3;2;83;66;13;1
5;5;10;7;2;1;192;70;76;5;0;3;46;31;13;12;3;1;26;4;3;88.8;6286;5581;60.1;27;211;58;115;683;24;57;28;161;439;94;42;52;92;18;7;0;0;4;3;115;94;12;0
6;5;10;3;4;3;91;35;36;1;0;1;20;14;8;2;3;0;13;0;1;80.5;3724;3028;41.4;31;118;37;175;337;10;32;20;132;390;146;74;72;214;38;17;1;1;5;5;110;127;20;0
7;17;6;0;0;6;49;12;27;3;0;3;10;3;0;1;2;0;3;0;1;80;2510;2051;44.3;26;78;21;79;193;2;20;19;91;276;96;45;51;84;24;19;0;0;0;0;63;69;16;2
8;5;10;7;1;2;167;57;63;0;0;0;47;21;13;4;4;0;21;0;2;89.1;6382;5694;59.1;30;224;68;110;655;16;71;8;115;403;96;45;51;103;13;10;0;0;5;2;134;92;15;0
9;17;6;1;1;4;59;24;18;0;0;0;17;6;4;1;0;0;5;0;0;78;2232;1744;40.5;17;95;17;73;231;5;37;21;61;262;70;29;41;120;28;20;0;0;0;1;62;57;11;0
10;17;6;3;0;3;84;29;34;2;1;0;21;10;5;3;2;0;10;0;2;84;3187;2718;51;23;95;22;61;290;8;34;18;86;282;62;18;44;75;14;11;1;1;2;1;64;46;9;2
11;17;6;0;1;5;47;16;18;4;1;1;13;1;1;0;0;0;1;0;0;82.8;2493;2083;43;21;60;13;89;207;1;22;26;51;237;70;27;43;109;17;11;0;0;1;6;54;81;10;0
12;9;8;4;1;3;133;40;58;5;3;2;35;9;6;2;1;0;8;1;0;86.5;3985;3466;49.6;31;188;60;94;372;6;51;18;63;306;109;47;62;115;12;7;0;0;3;5;86;78;12;2
13;9;8;5;1;2;105;37;54;3;2;1;14;11;2;6;3;0;11;0;2;87.4;4223;3729;50.4;24;130;32;86;385;6;27;15;77;349;92;40;52;125;16;10;1;0;4;3;79;85;10;0
14;17;6;2;1;3;88;34;31;1;0;1;23;15;9;2;4;0;14;1;2;82.2;2671;2205;47.5;28;103;29;92;255;12;22;14;46;261;89;41;48;96;14;14;1;0;1;0;97;65;14;1
15;1;13;10;1;2;222;81;78;8;1;4;63;30;9;13;6;0;23;5;1;86.2;8068;6997;59.3;25;271;68;170;797;23;92;26;181;568;121;59;62;155;15;14;0;0;4;3;151;122;15;0
16;9;8;3;2;3;90;22;37;2;0;2;31;8;5;3;0;0;7;1;2;80.1;3348;2694;48.5;27;111;30;126;317;4;29;22;104;362;100;53;47;138;17;8;0;0;3;1;89;113;26;0
17;17;6;0;1;5;35;7;22;0;0;0;6;1;1;0;0;0;1;0;0;78.3;2209;1771;39.2;23;51;12;78;133;1;8;4;48;209;72;32;40;149;32;14;0;1;0;4;74;65;15;1
18;3;12;7;2;3;193;68;59;6;2;3;66;29;14;9;5;0;26;2;2;90.2;7579;6837;59.8;23;225;53;147;807;23;83;38;155;448;103;38;65;119;18;16;1;0;4;2;126;119;23;1
19;9;8;3;3;2;88;40;29;3;1;1;19;12;9;2;1;0;9;3;0;85.6;4178;3581;52.3;24;125;30;109;335;11;30;12;105;317;88;42;46;137;22;10;0;0;1;1;80;97;17;1
20;17;6;1;1;4;48;16;23;0;0;0;9;6;3;1;1;0;5;0;0;81;2435;1987;48.3;34;90;31;98;213;5;17;20;70;272;74;34;40;123;22;9;1;1;1;3;73;84;18;1
21;9;8;4;2;2;92;39;31;2;1;0;22;15;7;7;1;0;13;2;2;90;4631;4177;54.5;19;71;14;120;316;7;29;17;140;280;111;50;61;141;29;11;0;1;2;12;76;106;21;0
22;17;6;1;2;3;63;18;27;3;1;1;18;4;3;0;1;0;4;0;1;77.7;2313;1811;48.3;30;90;27;101;245;3;27;6;51;249;88;29;59;120;18;11;1;0;2;2;89;74;17;3
23;1;13;9;0;4;179;69;62;4;2;1;48;29;17;7;4;0;22;6;3;87.4;7550;6628;50.4;24;194;47;182;658;21;55;19;193;514;166;76;90;194;61;14;0;1;5;4;120;153;26;0
24;9;8;3;2;3;89;37;27;3;1;2;25;10;4;6;0;0;9;1;3;74.4;3022;2294;45.4;16;112;18;100;335;6;38;17;83;369;116;44;72;158;16;14;0;0;1;3;129;89;16;0
25;17;6;1;3;2;71;23;31;2;1;0;17;5;4;0;1;0;5;0;2;84.8;3207;2731;56.3;25;155;40;104;303;3;37;9;73;272;53;18;35;66;14;5;0;0;2;1;77;91;21;2
26;17;6;0;2;4;81;21;37;4;2;2;23;2;2;0;0;0;2;0;0;90.5;3619;3281;57.5;23;68;16;71;308;2;34;9;89;209;42;14;28;87;24;12;1;0;1;4;64;54;7;0
27;17;6;2;1;3;54;20;24;1;0;1;10;7;1;2;3;1;5;2;0;77.5;1683;1314;34.2;30;71;22;61;145;5;16;12;62;226;101;38;63;186;35;11;0;0;1;3;64;50;13;0
28;9;8;3;1;4;79;31;31;5;1;2;17;14;5;6;2;1;11;3;2;81.3;3091;2522;43.3;25;85;22;151;239;9;27;11;90;281;119;52;67;131;20;17;0;0;2;8;85;115;21;0
29;3;12;5;3;4;115;45;45;3;1;2;25;20;8;9;3;0;20;0;2;80.8;4793;3943;46.4;33;116;39;163;434;16;41;17;147;462;131;54;77;290;41;16;1;0;3;12;115;115;26;2
30;17;6;1;2;3;44;11;22;1;0;0;11;5;2;2;1;0;5;0;0;77.2;2251;1742;45.5;27;74;20;85;167;4;15;3;82;260;51;27;24;156;23;10;0;0;1;2;88;67;26;2
31;17;6;1;2;3;82;25;40;1;0;1;17;7;4;2;1;0;5;2;0;82.5;2707;2245;49;25;131;33;55;255;4;29;12;82;277;81;38;43;85;21;12;0;0;0;2;87;44;11;0
32;17;6;1;2;3;80;27;29;0;0;0;24;10;5;2;2;0;7;2;1;86.5;2758;2387;46.8;33;124;41;71;253;8;39;10;51;242;67;32;35;135;17;10;0;0;1;10;50;65;9;1
