Club ID,Matches Played,Result,Possesion,Passing Accuracy,Crossing Accuracy,Won Rate,Total Attempts Rate,Shots On Target Rate,Shots Off Target Rate,Shots Woodwork Rate,Shots Crossbar Rate,Shots Post Rate,Shots Blocked Rate,Goals Rate,Goals Right Foot Rate,Goals Left Foot Rate,Goals Head Rate,Goals Other Rate,Goals Inside Area Rate,Goals Outside Area Rate,Penalties Scored Rate,Passes Attempted Rate,Passes Completed Rate,Crosses Attempted Rate,Crosses Completed Rate,Free-Kicks Taken Rate,Attacks Rate,Assists Rate,Corners Taken Rate,Offsides Rate,Dribbles Rate,Balls Recovered Rate,Tackles Rate,Tackles Won Rate,Tackles Lost Rate,Clearances Attempted Rate,Saves Rate,Goals Conceded Rate,Own Goals Conceded Rate,Saves from Penalties Rate,Clean Sheets Rate,Punches Made Rate,Fouls Committed Rate,Fouls Suffered Rate,Yellow Cards Rate,Red Cards Rate
1,8,9,59.5,87.6,33,0.75,16.25,6.5,6.38,0.5,0.0,0.38,3.38,2.75,0.62,1.5,0.38,0.12,2.5,0.12,0.12,576.38,505.88,20.12,6.75,11.75,66.88,2.12,4.75,2.62,15.62,40.88,13.38,5.75,7.62,10.38,1.88,1.0,0.12,0.0,0.25,0.25,14.62,9.75,1.88,0.0
2,6,17,51.3,82.0,29,0.17,13.5,5.0,4.67,0.67,0.33,0.33,3.83,2.0,0.67,1.17,0.17,0.0,1.67,0.33,0.0,495.33,407.5,17.33,5.17,14.83,52.33,1.83,4.5,2.17,12.67,46.67,11.33,5.33,6.0,17.33,3.5,2.17,0.0,0.0,0.17,0.17,11.33,12.33,1.5,0.0
3,10,5,41.5,77.5,22,0.3,9.6,2.7,4.7,0.2,0.1,0.0,2.2,0.9,0.3,0.4,0.2,0.0,0.9,0.0,0.1,365.0,286.8,11.9,2.7,13.0,35.2,0.7,3.2,2.2,10.3,42.5,12.6,5.4,7.2,18.5,2.6,1.0,0.0,0.0,0.3,0.2,12.8,11.3,2.5,0.4
4,6,17,55.8,87.8,25,0.33,10.0,1.83,4.83,0.17,0.17,0.0,3.33,0.33,0.33,0.0,0.0,0.0,0.33,0.0,0.0,588.83,517.17,19.83,5.0,14.17,55.83,0.17,6.0,3.33,10.17,39.17,15.0,6.33,8.67,8.0,2.67,1.5,0.0,0.0,0.5,0.33,13.83,11.0,2.17,0.17
5,10,5,60.1,88.8,27,0.7,19.2,7.0,7.6,0.5,0.0,0.3,4.6,3.1,1.3,1.2,0.3,0.1,2.6,0.4,0.3,628.6,558.1,21.1,5.8,11.5,68.3,2.4,5.7,2.8,16.1,43.9,9.4,4.2,5.2,9.2,1.8,0.7,0.0,0.0,0.4,0.3,11.5,9.4,1.2,0.0
6,10,5,41.4,80.5,31,0.3,9.1,3.5,3.6,0.1,0.0,0.1,2.0,1.4,0.8,0.2,0.3,0.0,1.3,0.0,0.1,372.4,302.8,11.8,3.7,17.5,33.7,1.0,3.2,2.0,13.2,39.0,14.6,7.4,7.2,21.4,3.8,1.7,0.1,0.1,0.5,0.5,11.0,12.7,2.0,0.0
7,6,17,44.3,80.0,26,0.0,8.17,2.0,4.5,0.5,0.0,0.5,1.67,0.5,0.0,0.17,0.33,0.0,0.5,0.0,0.17,418.33,341.83,13.0,3.5,13.17,32.17,0.33,3.33,3.17,15.17,46.0,16.0,7.5,8.5,14.0,4.0,3.17,0.0,0.0,0.0,0.0,10.5,11.5,2.67,0.33
8,10,5,59.1,89.1,30,0.7,16.7,5.7,6.3,0.0,0.0,0.0,4.7,2.1,1.3,0.4,0.4,0.0,2.1,0.0,0.2,638.2,569.4,22.4,6.8,11.0,65.5,1.6,7.1,0.8,11.5,40.3,9.6,4.5,5.1,10.3,1.3,1.0,0.0,0.0,0.5,0.2,13.4,9.2,1.5,0.0
9,6,17,40.5,78.0,17,0.17,9.83,4.0,3.0,0.0,0.0,0.0,2.83,1.0,0.67,0.17,0.0,0.0,0.83,0.0,0.0,372.0,290.67,15.83,2.83,12.17,38.5,0.83,6.17,3.5,10.17,43.67,11.67,4.83,6.83,20.0,4.67,3.33,0.0,0.0,0.0,0.17,10.33,9.5,1.83,0.0
10,6,17,51.0,84.0,23,0.5,14.0,4.83,5.67,0.33,0.17,0.0,3.5,1.67,0.83,0.5,0.33,0.0,1.67,0.0,0.33,531.17,453.0,15.83,3.67,10.17,48.33,1.33,5.67,3.0,14.33,47.0,10.33,3.0,7.33,12.5,2.33,1.83,0.17,0.17,0.33,0.17,10.67,7.67,1.5,0.33
11,6,17,43.0,82.8,21,0.0,7.83,2.67,3.0,0.67,0.17,0.17,2.17,0.17,0.17,0.0,0.0,0.0,0.17,0.0,0.0,415.5,347.17,10.0,2.17,14.83,34.5,0.17,3.67,4.33,8.5,39.5,11.67,4.5,7.17,18.17,2.83,1.83,0.0,0.0,0.17,1.0,9.0,13.5,1.67,0.0
12,8,9,49.6,86.5,31,0.5,16.62,5.0,7.25,0.62,0.38,0.25,4.38,1.12,0.75,0.25,0.12,0.0,1.0,0.12,0.0,498.12,433.25,23.5,7.5,11.75,46.5,0.75,6.38,2.25,7.88,38.25,13.62,5.88,7.75,14.38,1.5,0.88,0.0,0.0,0.38,0.62,10.75,9.75,1.5,0.25
13,8,9,50.4,87.4,24,0.62,13.12,4.62,6.75,0.38,0.25,0.12,1.75,1.38,0.25,0.75,0.38,0.0,1.38,0.0,0.25,527.88,466.12,16.25,4.0,10.75,48.12,0.75,3.38,1.88,9.62,43.62,11.5,5.0,6.5,15.62,2.0,1.25,0.12,0.0,0.5,0.38,9.88,10.62,1.25,0.0
14,6,17,47.5,82.2,28,0.33,14.67,5.67,5.17,0.17,0.0,0.17,3.83,2.5,1.5,0.33,0.67,0.0,2.33,0.17,0.33,445.17,367.5,17.17,4.83,15.33,42.5,2.0,3.67,2.33,7.67,43.5,14.83,6.83,8.0,16.0,2.33,2.33,0.17,0.0,0.17,0.0,16.17,10.83,2.33,0.17
15,13,1,59.3,86.2,25,0.77,17.08,6.23,6.0,0.62,0.08,0.31,4.85,2.31,0.69,1.0,0.46,0.0,1.77,0.38,0.08,620.62,538.23,20.85,5.23,13.08,61.31,1.77,7.08,2.0,13.92,43.69,9.31,4.54,4.77,11.92,1.15,1.08,0.0,0.0,0.31,0.23,11.62,9.38,1.15,0.0
16,8,9,48.5,80.1,27,0.38,11.25,2.75,4.62,0.25,0.0,0.25,3.88,1.0,0.62,0.38,0.0,0.0,0.88,0.12,0.25,418.5,336.75,13.88,3.75,15.75,39.62,0.5,3.62,2.75,13.0,45.25,12.5,6.62,5.88,17.25,2.12,1.0,0.0,0.0,0.38,0.12,11.12,14.12,3.25,0.0
17,6,17,39.2,78.3,23,0.0,5.83,1.17,3.67,0.0,0.0,0.0,1.0,0.17,0.17,0.0,0.0,0.0,0.17,0.0,0.0,368.17,295.17,8.5,2.0,13.0,22.17,0.17,1.33,0.67,8.0,34.83,12.0,5.33,6.67,24.83,5.33,2.33,0.0,0.17,0.0,0.67,12.33,10.83,2.5,0.17
18,12,3,59.8,90.2,23,0.58,16.08,5.67,4.92,0.5,0.17,0.25,5.5,2.42,1.17,0.75,0.42,0.0,2.17,0.17,0.17,631.58,569.75,18.75,4.42,12.25,67.25,1.92,6.92,3.17,12.92,37.33,8.58,3.17,5.42,9.92,1.5,1.33,0.08,0.0,0.33,0.17,10.5,9.92,1.92,0.08
19,8,9,52.3,85.6,24,0.38,11.0,5.0,3.62,0.38,0.12,0.12,2.38,1.5,1.12,0.25,0.12,0.0,1.12,0.38,0.0,522.25,447.62,15.62,3.75,13.62,41.88,1.38,3.75,1.5,13.12,39.62,11.0,5.25,5.75,17.12,2.75,1.25,0.0,0.0,0.12,0.12,10.0,12.12,2.12,0.12
20,6,17,48.3,81.0,34,0.17,8.0,2.67,3.83,0.0,0.0,0.0,1.5,1.0,0.5,0.17,0.17,0.0,0.83,0.0,0.0,405.83,331.17,15.0,5.17,16.33,35.5,0.83,2.83,3.33,11.67,45.33,12.33,5.67,6.67,20.5,3.67,1.5,0.17,0.17,0.17,0.5,12.17,14.0,3.0,0.17
21,8,9,54.5,90.0,19,0.5,11.5,4.88,3.88,0.25,0.12,0.0,2.75,1.88,0.88,0.88,0.12,0.0,1.62,0.25,0.25,578.88,522.12,8.88,1.75,15.0,39.5,0.88,3.62,2.12,17.5,35.0,13.88,6.25,7.62,17.62,3.62,1.38,0.0,0.12,0.25,1.5,9.5,13.25,2.62,0.0
22,6,17,48.3,77.7,30,0.17,10.5,3.0,4.5,0.5,0.17,0.17,3.0,0.67,0.5,0.0,0.17,0.0,0.67,0.0,0.17,385.5,301.83,15.0,4.5,16.83,40.83,0.5,4.5,1.0,8.5,41.5,14.67,4.83,9.83,20.0,3.0,1.83,0.17,0.0,0.33,0.33,14.83,12.33,2.83,0.5
23,13,1,50.4,87.4,24,0.69,13.77,5.31,4.77,0.31,0.15,0.08,3.69,2.23,1.31,0.54,0.31,0.0,1.69,0.46,0.23,580.77,509.85,14.92,3.62,14.0,50.62,1.62,4.23,1.46,14.85,39.54,12.77,5.85,6.92,14.92,4.69,1.08,0.0,0.08,0.38,0.31,9.23,11.77,2.0,0.0
24,8,9,45.4,74.4,16,0.38,11.12,4.62,3.38,0.38,0.12,0.25,3.12,1.25,0.5,0.75,0.0,0.0,1.12,0.12,0.38,377.75,286.75,14.0,2.25,12.5,41.88,0.75,4.75,2.12,10.38,46.12,14.5,5.5,9.0,19.75,2.0,1.75,0.0,0.0,0.12,0.38,16.12,11.12,2.0,0.0
25,6,17,56.3,84.8,25,0.17,11.83,3.83,5.17,0.33,0.17,0.0,2.83,0.83,0.67,0.0,0.17,0.0,0.83,0.0,0.33,534.5,455.17,25.83,6.67,17.33,50.5,0.5,6.17,1.5,12.17,45.33,8.83,3.0,5.83,11.0,2.33,0.83,0.0,0.0,0.33,0.17,12.83,15.17,3.5,0.33
26,6,17,57.5,90.5,23,0.0,13.5,3.5,6.17,0.67,0.33,0.33,3.83,0.33,0.33,0.0,0.0,0.0,0.33,0.0,0.0,603.17,546.83,11.33,2.67,11.83,51.33,0.33,5.67,1.5,14.83,34.83,7.0,2.33,4.67,14.5,4.0,2.0,0.17,0.0,0.17,0.67,10.67,9.0,1.17,0.0
27,6,17,34.2,77.5,30,0.33,9.0,3.33,4.0,0.17,0.0,0.17,1.67,1.17,0.17,0.33,0.5,0.17,0.83,0.33,0.0,280.5,219.0,11.83,3.67,10.17,24.17,0.83,2.67,2.0,10.33,37.67,16.83,6.33,10.5,31.0,5.83,1.83,0.0,0.0,0.17,0.5,10.67,8.33,2.17,0.0
28,8,9,43.3,81.3,25,0.38,9.88,3.88,3.88,0.62,0.12,0.25,2.12,1.75,0.62,0.75,0.25,0.12,1.38,0.38,0.25,386.38,315.25,10.62,2.75,18.88,29.88,1.12,3.38,1.38,11.25,35.12,14.88,6.5,8.38,16.38,2.5,2.12,0.0,0.0,0.25,1.0,10.62,14.38,2.62,0.0
29,12,3,46.4,80.8,33,0.42,9.58,3.75,3.75,0.25,0.08,0.17,2.08,1.67,0.67,0.75,0.25,0.0,1.67,0.0,0.17,399.42,328.58,9.67,3.25,13.58,36.17,1.33,3.42,1.42,12.25,38.5,10.92,4.5,6.42,24.17,3.42,1.33,0.08,0.0,0.25,1.0,9.58,9.58,2.17,0.17
30,6,17,45.5,77.2,27,0.17,7.33,1.83,3.67,0.17,0.0,0.0,1.83,0.83,0.33,0.33,0.17,0.0,0.83,0.0,0.0,375.17,290.33,12.33,3.33,14.17,27.83,0.67,2.5,0.5,13.67,43.33,8.5,4.5,4.0,26.0,3.83,1.67,0.0,0.0,0.17,0.33,14.67,11.17,4.33,0.33
31,6,17,49.0,82.5,25,0.17,13.67,4.17,6.67,0.17,0.0,0.17,2.83,1.17,0.67,0.33,0.17,0.0,0.83,0.33,0.0,451.17,374.17,21.83,5.5,9.17,42.5,0.67,4.83,2.0,13.67,46.17,13.5,6.33,7.17,14.17,3.5,2.0,0.0,0.0,0.0,0.33,14.5,7.33,1.83,0.0
32,6,17,46.8,86.5,33,0.17,13.33,4.5,4.83,0.0,0.0,0.0,4.0,1.67,0.83,0.33,0.33,0.0,1.17,0.33,0.17,459.67,397.83,20.67,6.83,11.83,42.17,1.33,6.5,1.67,8.5,40.33,11.17,5.33,5.83,22.5,2.83,1.67,0.0,0.0,0.17,1.67,8.33,10.83,1.5,0.17
